"set";"selector_name";"n_features";"adaboost";"bagging";"extratree";"extratreeS";"gradientboost";"knn";"logit";"mlp";"nb";"ncentroids";"rndforest";"svm";"tree"
"sets";"pca";80;0.219512195121951;0.634146341463415;0.414634146341463;0.585365853658537;0.731707317073171;0.731707317073171;0.804878048780488;0.780487804878049;NA;0.414634146341463;0.585365853658537;0.853658536585366;0.682926829268293
"sets";"pca";81;0.219512195121951;0.609756097560976;0.219512195121951;0.560975609756098;0.75609756097561;0.731707317073171;0.804878048780488;0.707317073170732;NA;0.414634146341463;0.609756097560976;0.853658536585366;0.682926829268293
"sets";"pca";82;0.219512195121951;0.658536585365854;0.317073170731707;0.585365853658537;0.731707317073171;0.731707317073171;0.804878048780488;0.731707317073171;NA;0.414634146341463;0.560975609756098;0.853658536585366;0.634146341463415
"sets";"pca";83;0.219512195121951;0.707317073170732;0.292682926829268;0.609756097560976;0.707317073170732;0.731707317073171;0.804878048780488;0.75609756097561;NA;0.414634146341463;0.609756097560976;0.853658536585366;0.682926829268293
"sets";"pca";84;0.219512195121951;0.658536585365854;0.268292682926829;0.536585365853659;0.75609756097561;0.731707317073171;0.804878048780488;0.731707317073171;NA;0.414634146341463;0.609756097560976;0.853658536585366;0.658536585365854
"sets";"pca";85;0.219512195121951;0.658536585365854;0.268292682926829;0.560975609756098;0.731707317073171;0.731707317073171;0.804878048780488;0.804878048780488;NA;0.414634146341463;0.682926829268293;0.853658536585366;0.658536585365854
"sets";"pca";86;0.195121951219512;0.682926829268293;0.268292682926829;0.609756097560976;0.75609756097561;0.731707317073171;0.804878048780488;0.731707317073171;NA;0.414634146341463;0.609756097560976;0.853658536585366;0.731707317073171
"sets";"pca";87;0.219512195121951;0.634146341463415;0.292682926829268;0.51219512195122;0.707317073170732;0.731707317073171;0.804878048780488;0.682926829268293;NA;0.414634146341463;0.585365853658537;0.853658536585366;0.707317073170732
"sets";"pca";88;0.219512195121951;0.682926829268293;0.414634146341463;0.560975609756098;0.75609756097561;0.731707317073171;0.804878048780488;0.853658536585366;NA;0.414634146341463;0.682926829268293;0.853658536585366;0.682926829268293
"sets";"pca";89;0.195121951219512;0.609756097560976;0.341463414634146;0.463414634146341;0.707317073170732;0.731707317073171;0.804878048780488;0.731707317073171;NA;0.414634146341463;0.731707317073171;0.853658536585366;0.634146341463415
"sets";"pca";90;0.219512195121951;0.609756097560976;0.292682926829268;0.560975609756098;0.731707317073171;0.731707317073171;0.804878048780488;0.75609756097561;NA;0.414634146341463;0.439024390243902;0.853658536585366;0.75609756097561
"sets";"pca";91;0.219512195121951;0.707317073170732;0.365853658536585;0.658536585365854;0.75609756097561;0.731707317073171;0.804878048780488;0.707317073170732;NA;0.414634146341463;0.609756097560976;0.853658536585366;0.658536585365854
"sets";"pca";92;0.219512195121951;0.609756097560976;0.219512195121951;0.463414634146341;0.731707317073171;0.731707317073171;0.804878048780488;0.780487804878049;NA;0.414634146341463;0.707317073170732;0.853658536585366;0.731707317073171
"sets";"pca";93;0.219512195121951;0.560975609756098;0.365853658536585;0.609756097560976;0.658536585365854;0.731707317073171;0.804878048780488;0.731707317073171;NA;0.414634146341463;0.75609756097561;0.853658536585366;0.634146341463415
"sets";"pca";94;0.219512195121951;0.658536585365854;0.341463414634146;0.560975609756098;0.682926829268293;0.731707317073171;0.804878048780488;0.780487804878049;NA;0.414634146341463;0.560975609756098;0.853658536585366;0.707317073170732
"sets";"pca";95;0.219512195121951;0.731707317073171;0.463414634146341;0.414634146341463;0.682926829268293;0.731707317073171;0.804878048780488;0.780487804878049;NA;0.414634146341463;0.51219512195122;0.853658536585366;0.731707317073171
