set;clf_name;selector_name;n_features;accuracy
sets;tree;rfe;88;0.926829268292683
sets;tree;rfe;87;0.926829268292683
sets;tree;rfe;86;0.926829268292683
sets;tree;rfe;85;0.8780487804878049
sets;tree;rfe;84;0.926829268292683
sets;tree;rfe;83;0.9024390243902439
sets;tree;rfe;82;0.9024390243902439
sets;tree;rfe;81;0.926829268292683
sets;tree;rfe;80;0.926829268292683
sets;extratree;rfe;132;0.7073170731707317
sets;extratree;rfe;131;0.7560975609756098
sets;extratree;rfe;130;0.6097560975609756
sets;extratree;rfe;129;0.8048780487804879
sets;extratree;rfe;128;0.7560975609756098
sets;extratree;rfe;127;0.7317073170731707
sets;extratree;rfe;126;0.7560975609756098
sets;extratree;rfe;125;0.7560975609756098
sets;extratree;rfe;124;0.7804878048780488
sets;extratree;rfe;123;0.7560975609756098
sets;extratree;rfe;122;0.7317073170731707
sets;extratree;rfe;121;0.7073170731707317
sets;extratree;rfe;120;0.7560975609756098
sets;extratree;rfe;119;0.8048780487804879
sets;extratree;rfe;118;0.7317073170731707
sets;extratree;rfe;117;0.8292682926829268
sets;extratree;rfe;116;0.7073170731707317
sets;extratree;rfe;115;0.7073170731707317
sets;extratree;rfe;114;0.7317073170731707
sets;extratree;rfe;113;0.8536585365853658
sets;extratree;rfe;112;0.7560975609756098
sets;extratree;rfe;111;0.7073170731707317
sets;extratree;rfe;110;0.8292682926829268
sets;extratree;rfe;109;0.8048780487804879
sets;extratree;rfe;108;0.6829268292682927
sets;extratree;rfe;107;0.8048780487804879
sets;extratree;rfe;106;0.7560975609756098
sets;extratree;rfe;105;0.6585365853658537
sets;extratree;rfe;104;0.7073170731707317
sets;extratree;rfe;103;0.7560975609756098
sets;extratree;rfe;102;0.6829268292682927
sets;extratree;rfe;101;0.6585365853658537
sets;extratree;rfe;100;0.8292682926829268
sets;extratree;rfe;99;0.7804878048780488
sets;extratree;rfe;98;0.7804878048780488
sets;extratree;rfe;97;0.7317073170731707
sets;extratree;rfe;96;0.7317073170731707
sets;extratree;rfe;95;0.7317073170731707
sets;extratree;rfe;94;0.6829268292682927
sets;extratree;rfe;93;0.7804878048780488
sets;extratree;rfe;92;0.8048780487804879
sets;extratree;rfe;91;0.6585365853658537
sets;extratree;rfe;90;0.7073170731707317
sets;extratree;rfe;89;0.7073170731707317
sets;extratree;rfe;88;0.7804878048780488
sets;extratree;rfe;87;0.7073170731707317
sets;extratree;rfe;86;0.6097560975609756
sets;extratree;rfe;85;0.7317073170731707
sets;extratree;rfe;84;0.7804878048780488
sets;extratree;rfe;83;0.6341463414634146
sets;extratree;rfe;82;0.5609756097560976
sets;extratree;rfe;81;0.8048780487804879
sets;extratree;rfe;80;0.6341463414634146
sets;adaboost;rfe;132;0.36585365853658536
